Pais,Ciudad,origin,destination,count,lat,lon
Argentina,Buenos Aires,Buenos Aires-Argentina,Buenos Aires-Argentina,1,0,0
Bolivia,La Paz,La Paz-Bolivia,La Paz-Bolivia,1,0,0
Bolivia,Cochabamba,Cochabamba-Bolivia,Cochabamba-Bolivia,1,0,0
Brasil,Sao Paulo,Sao Paulo-Brasil,Sao Paulo-Brasil,1,0,0
Brasil,Minas,Minas-Brasil,Minas-Brasil,1,0,0
Brasil,Río de Janeiro,Río de Janeiro-Brasil,Río de Janeiro-Brasil,1,0,0
Chile,Santiago de Chile,Santiago de Chile-Chile,Santiago de Chile-Chile,1,0,0
Colombia,Bogotá,Bogotá-Colombia,Bogotá-Colombia,1,0,0
Ecuador,Quito,Quito-Ecuador,Quito-Ecuador,1,0,0
Jamaica,Kingston,Kingston-Jamaica,Kingston-Jamaica,1,0,0
México,Monterrey,Monterrey-México,Monterrey-México,1,0,0
México,DF,DF-México,DF-México,1,0,0
México,Puebla,Puebla-México,Puebla-México,1,0,0
México,Ciudad Juarez,Ciudad Juarez-México,Ciudad Juarez-México,1,0,0
México,DF,DF-México,DF-México,1,0,0
Nicaragua,Managua,Managua-Nicaragua,Managua-Nicaragua,1,0,0
Paraguay,Asunción,Asunción-Paraguay,Asunción-Paraguay,1,0,0
Perú,Lima,Lima-Perú,Lima-Perú,1,0,0
Uruguay,Montevideo,Montevideo-Uruguay,Montevideo-Uruguay,1,0,0
